18 digit Property ID,ARC Program: ID,ARC Program: Program ID,Billing Code (AccPac),Operations Region,Property Name (formula),SEO Cost,Program Official Start,UA Code,View ID,Current Property Owner,Units
a072E00000XZc4rQAD,a2i2E000004uiwl,PGM-87640,2086,Central,Parkside Bella Terra,300,4/25/2019,UA-50039503-21,194469930,LivCor,342
a072E00000XZYr2QAH,a2i2E000004uiYt,PGM-87375,2077,Central,801 LasCo.,600,4/26/2019,UA-83547238-13,194325110,Pacific Life Insurance Company,422
a072E00000XZa9VQAT,a2i2E000004uiY2,PGM-87322,2083,Central,Archstone Toscano,900,4/25/2019,UA-50039503-18,194371468,Alliance Residential Company,474
a078000000VDZpwAAH,a2i80000003UAzX,PGM-69896,1863,Central,Broadstone Traditions,600,9/1/2018,UA-50039503-7,175502689,Alliance Residential Company,261
a078000000QDWHNAA5,a2i80000003Uysn,PGM-77607,1494,Central,Broadstone Woodmill Creek,300,6/29/2018,UA-69155700-1,178632607,UBS Realty Investors LLC,380
a078000000VFYsIAAX,a2i80000003U9Pz,PGM-69083,1818,Central,Broadstone Briar Forest,1200,3/16/2018,UA-50039503-8,171726956,Alliance Residential Company,342
a078000000W63hSAAR,a2i80000003URQT,PGM-74030,1871,Central,Broadstone Lofts at Hermann Park,300,9/13/2018,UA-50039503-12,181634063,Alliance Residential Company,380
a078000000W7UhhAAF,a2i80000003Uyex,PGM-77553,2043,Central,Broadstone Barker Cypress,1200,3/1/2019,UA-50039503-15,188832488,Alliance Residential Company,364
a078000000W5dgOAAR,a2i80000003UJwC,PGM-73487,1857,Central,La Costa Villas,300,6/18/2018,UA-83547238-9,177071738,Boston Capital,260
a078000000W5nyoAAB,a2i80000003ULJ5,PGM-73902,2115,Central,The Villages of Briar Forest,300,6/4/2018,UA-50039503-11,176395500,White Oak Partners,241
a078000000Tv45SAAR,a2i2E0000053Wwj,PGM-83024,1988,Central,Stella at Riverstone,600,1/25/2019,UA-50039503-5,178744348,Cardone Capital,351
a078000000TvLrwAAF,a2i80000003TlQA,PGM-63365,1881,Central,Broadstone Burnet,300,5/16/2018,UA-50024608-5,175521826,Alliance Residential Company,350
a078000000SpderAAB,a2i80000003TlII,PGM-62882,1806,Central,Broadstone Oak Hills,300,4/12/2018,UA-69125602-4,174632823,Alliance Residential Company,330
a078000000QDW44AAH,a2i800000048GxN,PGM-37624,1501,Central,Broadstone Energy Park,300,8/17/2017,UA-79862490-1,177352497,Alliance Residential Company,416
a078000000S01RpAAJ,a2i800000048GxK,PGM-37621,1542,Central,Avenue 900,300,9/9/2016,UA-83547238-1,178491222,Parkmeed Properties,300
a078000000S056pAAB,a2i800000048GxJ,PGM-37620,1525,Central,Settler's Gate,600,6/15/2017,UA-83701172-1,177301433,Rivendell Global Real Estate Inc.,432
a078000000TwtfaAAB,a2i800000048Gun,PGM-37464,1671,Central,Memorial Hills,300,12/19/2017,UA-50039503-6,193884885,Alliance Residential Company,308
a078000000P1bxfAAB,a2i800000048Gzg,PGM-37767,1211,Central,The Oaks at Techridge,300,9/5/2014,UA-54900438-1,174148543,"Belkorp Industries, Inc.",336
a078000000U1BEhAAN,a2i800000048Guv,PGM-37472,1669,Central,Celeste at La Cantera,300,8/1/2017,UA-69125602-2,184768504,USAA Real Estate Company,300
a078000000U16lrAAB,a2i800000048Gvy,PGM-37537,1667,Central,Braeswood Place,300,6/29/2017,UA-50039503-4,178509418,UBS Realty Investors LLC,340
a0780000003RypgAAC,a2i800000048H2H,PGM-37928,829,Central,Broadstone Ambrose,300,5/10/2014,UA-11685220-2,178504572,Prudential,338
a0780000003Ryq1AAC,a2i800000048H29,PGM-37920,1539,Central,Broadstone Grand Avenue,300,5/1/2017,UA-28665334-1,176672309,Jackson Square Properties,280
a078000000SpiwJAAR,a2i800000048Gws,PGM-37593,1595,Central,Benton Pointe,600,2/13/2018,UA-83547238-3,169760743,Rivendell Global Real Estate Inc.,456
a078000000SpY9QAAV,a2i800000048Gwn,PGM-37588,1587,Central,Bristol Heights,300,1/31/2019,UA-50024608-2,178518108,White Oak Partners,351
a078000000SpY9VAAV,a2i800000048Gwk,PGM-37585,1588,Central,Mandolin,300,6/15/2017,UA-83547238-4,178719280,White Oak Partners,486
a078000000SRQUtAAP,a2i800000048Gwc,PGM-37577,1597,Central,Equinox (TX),600,4/24/2017,UA-50039503-3,176645730,Alliance Residential Company,304
a078000000PhU0VAAV,a2i800000048GzI,PGM-37743,1275,Central,Agave at South Congress,300,2/12/2015,UA-58856612-1,176641290,FrontRange Capital Partners,195
a078000000QDAFaAAP,a2i800000048GzC,PGM-37737,1287,Central,Midtown Commons at Crestview Station Phase I,600,3/31/2015,UA-61648990-1,184732779,MIG Real Estate,316
a0780000002w4LvAAI,a2i800000048H0z,PGM-37848,1551,Central,City North at Sunrise Ranch,0,2/21/2018,UA-33273899-1,176068817,Starlight Investments Ltd.,384
a078000000KoH2zAAF,a2i800000048H0p,PGM-37838,1005,Central,Somerset Townhomes,300,3/6/2015,UA-38154580-1,178656238,"Belkorp Industries, Inc.",123
a078000000PgKZsAAN,a2i800000048GzN,PGM-37748,1571,Central,The Monterra,300,2/21/2018,UA-57814915-1,176732719,Timbercreek,256
a0780000003RyqCAAS,a2i800000048H2e,PGM-37951,426,Central,Broadstone New Territory I,300,12/10/2015,UA-67068306-1,184680644,Harvest Equities,256
a0780000003RyqDAAS,a2i800000048H2d,PGM-37950,427,Central,Broadstone New Territory II,300,12/10/2015,UA-67068306-1,149547335,Harvest Equities,248
a0780000003RyqAAAS,a2i800000048H2Y,PGM-37945,991,Central,Broadstone Memorial,300,4/25/2014,UA-28312605-1,175028027,AEW Capital Management,401
a078000000QqlulAAB,a2i800000048GyO,PGM-37687,1396,Central,Pine Creek Ranch,300,1/7/2016,UA-72100128-1,176681595,MIG Real Estate,240
a078000000QDWHSAA5,a2i800000048GyE,PGM-37677,1384,Central,The Townhomes at Woodmill Creek,300,1/31/2018,UA-72828783-1,178641856,Alliance Residential Company,171
a078000000PigSrAAJ,a2i800000048Gy3,PGM-37666,1435,Central,Broadstone Farmer's Market,600,1/19/2016,UA-72186424-1,149234541,Alliance Residential Company,340
a078000000RpbjYAAR,a2i800000048Gxw,PGM-37659,1453,Central,Metro Midtown,600,4/29/2016,UA-76005744-1,178730323,Alliance Bernstein,419
a078000000QDWGyAAP,a2i800000048GwZ,PGM-37574,1552,Central,Broadstone Skyline,300,3/3/2017,UA-67059904-1,178522043,Alliance Residential Company,269
a078000000PhYk2AAF,a2i800000048Gz8,PGM-37733,1291,Central,Asher,300,4/15/2015,UA-61106011-1,174154707,Castle Lanterra Properties,452
a078000000PhBpZAAV,a2i800000048Gz5,PGM-37730,1488,Central,Broadstone 8 One Hundred,300,5/25/2016,UA-53200104-1,175466757,Jackson Square Properties,376
a078000000PhBssAAF,a2i800000048Gz1,PGM-37726,1273,Central,2626 Fountain View,300,4/24/2017,UA-50039503-1,178482103,Alliance Residential Company,281
a078000000QFJlzAAH,a2i800000048Gyz,PGM-37724,1317,Central,Portico Kirby,300,6/12/2015,UA-63736109-1,178507501,FrontRange Capital Partners,263
a078000000QDW9EAAX,a2i800000048Gxt,PGM-37656,1381,Central,Broadstone Falcon Landing,300,3/11/2016,UA-53195409-1,159128699,Alliance Residential Company,386
a078000000OKxoXAAT,a2i800000048Gxs,PGM-37655,1146,Central,Block 334,300,7/27/2017,UA-50019923-1,178452865,Alliance Residential Company,207
a078000000RqWsmAAF,a2i800000048Gxm,PGM-37649,1468,Central,The Standard (TX),300,11/15/2017,UA-77695010-1,177297802,Rivendell Global Real Estate Inc.,281
a078000000QDW9xAAH,a2i800000048Gxj,PGM-37646,1413,Central,Broadstone Harmony,300,2/21/2018,UA-74819106-1,178703323,Alliance Residential Company,273
a078000000RqO9nAAF,a2i800000048GvJ,PGM-37496,1666,Central,Broadstone LTD,300,6/1/2017,UA-83547238-5,178449017,Alliance Residential Company,308
a078000000OIgu3AAD,a2i800000048H08,PGM-37795,1139,Central,Autumn Ranch On Swenson Farms,300,4/13/2014,UA-47581314-1,164933276,MIG Real Estate,336
a078000000Kmy8gAAB,a2i800000048H00,PGM-37787,1316,Central,Post Oak,600,4/29/2014,UA-43404890-1,176632401,Strategic Capital Partners,272
a072E00000XZkR7QAL,a2i2E000004unWG,PGM-88011,2095,Central,Oaks at Greenview,300,5/14/2019,UA-50039503-24,195245621,White Oak Partners,300
a078000000PhBtRAAV,a2i80000003UIWC,PGM-73129,1882,Central,District 28,600,4/25/2018,UA-50039112-1,174122253,Prudential,299
a078000000WkFzNAAV,a2i800000053NBa,PGM-79888,1916,Central,Briar Meadows,300,9/12/2018,UA-50039503-13,182112446,Boston Capital,256
a072E00000XZdJUQA1,a2i2E000004ujJO,PGM-87693,2087,Central,Lenox Trails,300,4/25/2019,UA-50039503-22,194457806,LivCor,389
a072E00000WuqoSQAR,a2i2E000000c0Df,PGM-86633,2058,Central,Terrazzo,600,3/19/2019,UA-50024608-12,191998455,Rivendell Global Real Estate Inc.,224
a072E00000WuIXGQA3,a2i2E0000053XgH,PGM-83660,2003,Central,10XLiving,900,2/1/2019,UA-50024608-10,187391196,Cardone Capital,458
a078000000Qq0osAAB,a2i2E000005pB5b,PGM-90985,,Southern California,Broadstone Cavora,600,4/22/2019,UA-93239903-2,186857299,Clarion Partners,348
a078000000SpCq4AAF,a2i80000003UB3R,PGM-70118,1772,Southern California,625 Broadway,900,2/14/2019,UA-93239903-50,189301153,Westbrook Properties,237
a078000000W6KPCAA3,a2i80000003UXtn,PGM-74442,1873,Southern California,Eton at Warner Center,600,7/10/2018,UA-93239903-23,178353332,Crow Holdings,298
a078000000Wk8xKAAR,a2i80000003V3W5,PGM-79093,1944,Southern California,The Ashton,300,10/19/2018,UA-93239903-37,183940121,CapitaLand International,492
a078000000Wk8wlAAB,a2i80000003V3Ww,PGM-79146,1948,Southern California,Deerwood,300,10/17/2018,UA-93239903-38,183859524,CapitaLand International,316
a078000000Wk8wqAAB,a2i80000003V3Xs,PGM-79199,1945,Southern California,Marquessa Villas,300,10/17/2018,UA-93239903-39,183779516,CapitaLand International,336
a078000000TxbakAAB,a2i80000003TlNw,PGM-63227,1795,Southern California,Talaria,900,1/1/2019,UA-93239903-42,186447579,Cusumano Real Estate Group,241
a078000000VEGjGAAX,a2i80000003TlaW,PGM-63917,1801,Southern California,The Paseo at Town Center,300,1/25/2018,UA-93239903-14,186860159,AEW Capital Management,267
a078000000W5fPYAAZ,a2i80000003UK76,PGM-73782,1922,Southern California,Columbia Square Living,900,10/4/2018,UA-93239903-35,183320122,Kilroy Realty,200
a078000000QqKWgAAN,a2i800000048GxS,PGM-37629,1405,Southern California,Garey Building,600,3/7/2016,UA-70195413-1,178670179,Lowe Enterprises Real Estate Group,320
