Property Name,Trracking ID ,View ID,Website Sessions,Bounce Rate,Pages/Session,Avg. Time On Site
2626 Fountain View,UA-50039503-1,178482103,,,,
Block 334,UA-50019923-1,178452865,,,,
Broadstone Barker Cypress,UA-50039503-15,188832488,,,,
Broadstone Burnet,UA-50024608-5,175521826,,,,
Broadstone Energy Park,UA-79862490-1,177352497,,,,
Broadstone Falcon Landing,UA-53195409-1,159128699,,,,
Broadstone Harmony,UA-74819106-1,178703323,,,,
Broadstone Oak Hills,UA-69125602-4,174632823,,,,
Broadstone Skyline,UA-67059904-1,178522043,,,,
Broadstone Summer Street,UA-50039503-17,195390105,,,,
Broadstone Traditions,UA-50039503-7,175502689,,,,
Equinox,UA-50039503-3,176645730,,,,
Hawthorne House,UA-69125602-3,184722202,,,,
Memorial Hills,UA-50039503-6,193884885,,,,
The Townhomes at Woodmill Creek,UA-50039503-5,178744348,,,,
