,latitude,longitude,sessions,zip,Formatted Address
0,21.3069,-157.8583,1,96813,"Honolulu, HI 96813, USA"
1,25.6104,-80.4295,1,33177,"Miami, FL 33177, USA"
2,25.6660,-80.3578,1,33176,"Miami, FL 33176, USA"
3,25.7492,-80.2635,1,33134,"Miami, FL 33134, USA"
4,25.7617,-80.1918,6,33131,"Miami, FL 33131, USA"
5,25.8651,-80.3245,2,33016,"Hialeah, FL 33016, USA"
6,25.9565,-80.1392,1,33180,"Aventura, FL 33180, USA"
7,25.9861,-80.3036,1,33025,"Miramar, FL 33025, USA"
8,26.0112,-80.1495,10,33020,"Hollywood, FL 33020, USA"
9,26.0765,-80.2521,2,33328,"Fort Lauderdale, FL 33328, USA"
10,26.1224,-80.1373,3,33301,"Fort Lauderdale, FL 33301, USA"
11,26.1276,-80.2331,6,33317,"Fort Lauderdale, FL 33317, USA"
12,26.1420,-81.7948,1,34102,"Naples, FL 34102, USA"
13,26.2379,-80.1248,1,33060,"Pompano Beach, FL 33060, USA"
14,26.2517,-80.1789,3,33066,"Pompano Beach, FL 33066, USA"
15,26.2670,-81.7896,3,34108,"Naples, FL 34108, USA"
16,26.2712,-80.2706,1,33065,"Pompano Beach, FL 33065, USA"
17,26.3683,-80.1289,2,33431,"Boca Raton, FL 33431, USA"
18,26.4454,-80.1398,1,33484,"Delray Beach, FL 33484, USA"
19,26.4615,-80.0728,3,33444,"Delray Beach, FL 33444, USA"
20,26.5025,-80.1066,1,33436,"Boynton Beach, FL 33436, USA"
21,26.5318,-80.0905,1,33426,"Boynton Beach, FL 33426, USA"
22,26.5504,-81.8687,2,33907,"Fort Myers, FL 33907, USA"
23,26.6168,-80.0685,1,33460,"Lake Worth, FL 33460, USA"
24,26.6406,-81.8723,8,33901,"Fort Myers, FL 33901, USA"
25,26.6618,-80.2684,2,33414,"VLG WELLINGTN, FL 33414, USA"
26,26.8234,-80.1387,1,33418,"Riviera Beach, FL 33418, USA"
27,26.9342,-80.0942,2,33458,"Jupiter, FL 33458, USA"
28,27.7692,-82.7690,2,33706,"St. Petersburg, FL 33706, USA"
29,27.7731,-82.6400,2,33701,"St. Petersburg, FL 33701, USA"
30,27.8397,-82.7912,1,33772,"Seminole, FL 33772, USA"
31,27.8661,-82.3265,1,33569,"Riverview, FL 33569, USA"
32,27.9014,-82.6729,2,33762,"Clearwater, FL 33762, USA"
33,27.9095,-82.7873,1,33771,"Largo, FL 33771, USA"
34,27.9378,-82.2859,1,33510,"Brandon, FL 33510, USA"
35,27.9506,-82.4572,9,33602,"Tampa, FL 33602, USA"
36,27.9659,-82.8001,1,33755,"Clearwater, FL 33755, USA"
37,28.0836,-80.6081,2,32901,"Melbourne, FL 32901, USA"
38,28.1461,-82.7568,1,34689,"Tarpon Springs, FL 34689, USA"
39,28.1614,-81.6017,2,33837,"Davenport, FL 33837, USA"
40,28.2920,-81.4076,2,34741,"Kissimmee, FL 34741, USA"
41,28.3304,-81.3571,1,34743,"BVL, FL 34743, USA"
42,28.3606,-81.4223,18,32837,"Orlando, FL 32837, USA"
43,28.4669,-81.5414,1,34786,"Windermere, FL 34786, USA"
44,28.4711,-81.4245,1,32809,"Belle Isle, FL 32809, USA"
45,28.5383,-81.3792,34,32801,"Orlando, FL 32801, USA"
46,28.5411,-81.3006,1,32807,"Azalea Park, FL 32807, USA"
47,28.5547,-81.1065,1,32820,"Alafaya, FL 32820, USA"
48,28.5653,-81.5862,1,34787,"Winter Garden, FL 34787, USA"
49,28.5703,-81.2354,3,32817,"Union Park, FL 32817, USA"
50,28.8713,-81.3289,1,32713,"DeBary, FL 32713, USA"
51,29.0339,-95.4344,2,77566,"Richwood, TX 77566, USA"
52,29.1383,-80.9956,1,32127,"PT ORANGE, FL 32127, USA"
53,29.3013,-94.7977,2,77550,"Galveston, TX 77550, USA"
54,29.4241,-98.4936,20,78205,"San Antonio, TX 78205, USA"
55,29.5636,-95.2860,2,77581,"BROOKSIDE VL, TX 77581, USA"
56,29.6197,-95.6349,1,77478,"Sugar Land, TX 77478, USA"
57,29.6516,-82.3248,1,32601,"Gainesville, FL 32601, USA"
58,29.7604,-95.3698,13,77002,"Houston, TX 77002, USA"
59,29.9012,-81.3124,1,32084,"ST AUG BEACH, FL 32084, USA"
60,29.9511,-90.0715,1,70112,"New Orleans, LA 70112, USA"
61,29.9717,-95.6938,3,77429,"Cypress, TX 77429, USA"
62,29.9941,-90.2417,1,70062,"Kenner, LA 70062, USA"
63,30.0035,-91.8187,1,70560,"New Iberia, LA 70560, USA"
64,30.0799,-95.4172,1,77373,"Spring, TX 77373, USA"
65,30.0972,-95.6161,2,77375,"Tomball, TX 77375, USA"
66,30.1661,-81.7065,1,32073,"Orange Park, FL 32073, USA"
67,30.2672,-97.7431,6,78701,"Austin, TX 78701, USA"
68,30.3119,-95.4561,1,77301,"Conroe, TX 77301, USA"
69,30.3322,-81.6556,2,32202,"Jacksonville, FL 32202, USA"
70,30.3960,-88.8853,2,39530,"Biloxi, MS 39530, USA"
71,30.4213,-87.2169,1,32501,"Pensacola, FL 32501, USA"
72,30.4383,-84.2807,2,32301,"Tallahassee, FL 32301, USA"
73,30.6333,-97.6780,1,78626,"Georgetown, TX 78626, USA"
74,30.6954,-88.0399,3,36602,"Mobile, AL 36602, USA"
75,31.0835,-97.6597,1,76548,"Harker Heights, TX 76548, USA"
76,31.4590,-85.6403,2,36360,"Ozark, AL 36360, USA"
77,31.7619,-106.4850,2,79901,"El Paso, TX 79901, USA"
78,32.0809,-81.0912,1,31401,"Savannah, GA 31401, USA"
79,32.2988,-90.1848,2,39201,"Jackson, MS 39201, USA"
80,32.3513,-95.3011,1,75702,"Tyler, TX 75702, USA"
81,32.5252,-93.7502,1,71107,"Shreveport, LA 71107, USA"
82,32.5897,-96.8571,1,75115,"DeSoto, TX 75115, USA"
83,32.6130,-83.6242,4,31088,"Warner Robins, GA 31088, USA"
84,32.7157,-117.1611,4,92101,"San Diego, CA 92101, USA"
85,32.7460,-96.9978,1,75050,"Grand Prairie, TX 75050, USA"
86,32.7482,-96.4719,1,75126,"Heath, TX 75126, USA"
87,32.7555,-97.3308,8,76102,"Fort Worth, TX 76102, USA"
88,32.7765,-79.9311,1,29401,"Charleston, SC 29401, USA"
89,32.7767,-96.7970,26,75201,"Dallas, TX 75201, USA"
90,32.8140,-96.9489,1,75060,"Irving, TX 75060, USA"
91,32.8550,-96.7976,1,75225,"Dallas, TX 75225, USA"
92,32.8579,-97.2547,1,76148,"Watauga, TX 76148, USA"
